Name,Street Address,Road,City,State,Brewery License,License Date,Status,Address
Pecan Street Brewing,106,E PECAN DRIVE,JOHNSON CITY,TX,Brewpub,11/17/2016,Open,"106 E PECAN DRIVE, JOHNSON CITY, TX"
Pint & Plow Brewing Company,332,CLAY STREET,KERRVILLE,TX,Brewpub,4/9/2018,Open,"332 CLAY STREET, KERRVILLE, TX"
Pinthouse Pizza,2800,HOPPE TRAIL,ROUND ROCK,TX,Brewpub,7/18/2018,Open,"2800 HOPPE TRAIL, ROUND ROCK, TX"
Pinthouse Pizza,4236,S LAMAR BOUELVARD,AUSTIN,TX,Brewpub,6/23/2015,Open,"4236 S LAMAR BOUELVARD, AUSTIN, TX"
Pinthouse Pizza,4729,BURNET ROAD,AUSTIN,TX,Brewpub,5/16/2012,Open,"4729 BURNET ROAD, AUSTIN, TX"
Platypus  Brewing,1902,WASHINGTON AVENUE SUITE E,HOUSTON,TX,Brewpub,1/15/2016,Open,"1902 WASHINGTON AVENUE SUITE E, HOUSTON, TX"
Pondaseta Brewing Co.,7500,SW 45TH AVENUE,AMARILLO,TX,Brewpub,5/15/2018,Open,"7500 SW 45TH AVENUE, AMARILLO, TX"
Primal Brewing Company,140,MARKET STREET,BAIRD,TX,Brewpub,4/18/2019,Open,"140 MARKET STREET, BAIRD, TX"
Rabbit Hole Brewing,608,TOPEKA AVENUE,JUSTIN,TX,Brewpub,6/21/2017,Open,"608 TOPEKA AVENUE, JUSTIN, TX"
Railroad Seafood Station,1214,N CHAPARRAL STREET,CORPUS CHRISTI,TX,Brewpub,5/18/2006,Open,"1214 N CHAPARRAL STREET, CORPUS CHRISTI, TX"
Rebel Toad Brewing Co,425,WILLIAM STREET,CORPUS CHRISTI,TX,Brewpub,3/17/2015,Open,"425 WILLIAM STREET, CORPUS CHRISTI, TX"
Reck 'Em Right Brewing,102,S AVE G,JOHNSON CITY,TX,Brewpub,6/4/2019,In the works,"102 S AVE G, JOHNSON CITY, TX"
Red Bone Magic Brewing,1304,TEXAS BOULEVARD,TEXARKANA,TX,Brewpub,8/16/2018,Open,"1304 TEXAS BOULEVARD, TEXARKANA, TX"
Red Horn Coffee House And Brewing Co.,13010,W PARMER LANE SUITE 800,CEDAR PARK,TX,Brewpub,10/27/2014,Open,"13010 W PARMER LANE SUITE 800, CEDAR PARK, TX"
Roadmap Brewing,723,N ALAMO STREET SUITES 102-04,SAN ANTONIO,TX,Brewpub,6/15/2018,Open,"723 N ALAMO STREET SUITES 102-04, SAN ANTONIO, TX"
Root Cellar Cafe,215,N LBJ,SAN MARCOS,TX,Brewpub,5/1/2008,Open,"215 N LBJ, SAN MARCOS, TX"
Rough Diamond Brewery,101,KENDALIA CIRCLE,SPRING BRANCH,TX,Brewpub,1/17/2018,Open,"101 KENDALIA CIRCLE, SPRING BRANCH, TX"
Roughhouse Brewing,612,OAKWOOD LOOP,SAN MARCOS,TX,Brewpub,9/27/2018,Open,"612 OAKWOOD LOOP, SAN MARCOS, TX"
Ruggedman Brewing Company,7600,OLD BASTROP ROAD,NEW BRAUNFELS,TX,Brewpub,8/30/2016,Open,"7600 OLD BASTROP ROAD, NEW BRAUNFELS, TX"
Saloon Door Brewing,105,MAGELLAN CIRCLE SUITE A,WEBSTER,TX,Brewpub,1/20/2016,Open,"105 MAGELLAN CIRCLE SUITE A, WEBSTER, TX"
San Gabriel River Brewery Inc.,500,CHAPARRAL DRIVE,LIBERTY HILL,TX,Brewpub,7/7/2015,Open,"500 CHAPARRAL DRIVE, LIBERTY HILL, TX"
Save The World Brewing Co.,1510,RESOURCE PARKWAY,MARBLE FALLS,TX,Brewpub,9/29/2017,Open,"1510 RESOURCE PARKWAY, MARBLE FALLS, TX"
Sean Patrick's,202,E SAN ANTONIO SUITE 119,SAN MARCOS,TX,Brewpub,10/4/2010,Open,"202 E SAN ANTONIO SUITE 119, SAN MARCOS, TX"
Seguin Brewing Company,111,W GONZALES STREET,SEGUIN,TX,Brewpub,8/1/2016,Open,"111 W GONZALES STREET, SEGUIN, TX"
Shannon Brewing Company,818,N MAIN STREET,KELLER,TX,Brewpub,3/30/2016,Open,"818 N MAIN STREET, KELLER, TX"
Sigma Brewing Company,3118,HARRISBURG BOULEVARD '108',HOUSTON,TX,Brewpub,6/5/2017,Open,"3118 HARRISBURG BOULEVARD '108', HOUSTON, TX"
Six Brothers Brewing,957,N 2ND STREET,ABILENE,TX,Brewpub,4/24/2019,Open,"957 N 2ND STREET, ABILENE, TX"
Six Car Pub & Brewery,625,S POLK STREET,AMARILLO,TX,Brewpub,8/22/2017,Open,"625 S POLK STREET, AMARILLO, TX"
Skull Mechanix Brewing,1005,E SAINT ELMO ROAD BUILDING 2,AUSTIN,TX,Brewpub,1/12/2017,Open,"1005 E SAINT ELMO ROAD BUILDING 2, AUSTIN, TX"
Small Brewpub,333,W JEFFERSON BOULEVARD,DALLAS,TX,Brewpub,9/24/2014,Open,"333 W JEFFERSON BOULEVARD, DALLAS, TX"
Sockdolager Brewing Company,720,CHINA STREET,ABILENE,TX,Brewpub,9/1/2016,Open,"720 CHINA STREET, ABILENE, TX"
Soco Taphouse,113,E CONCHO AVENUE SUITE L,SAN ANGELO,TX,Brewpub,3/10/2015,Open,"113 E CONCHO AVENUE SUITE L, SAN ANGELO, TX"
Soul Fire Brewing Company,206,N OAK STREET SUITE A,ROANOKE,TX,Brewpub,10/11/2018,In the works,"206 N OAK STREET SUITE A, ROANOKE, TX"
Southerleigh Fine Food And Brewery,136,E GRAYSON SUITE 120,SAN ANTONIO,TX,Brewpub,11/3/2014,Open,"136 E GRAYSON SUITE 120, SAN ANTONIO, TX"
Southern Heights Brewing Co,6014,TECHNI CENTER DRIVE,AUSTIN,TX,Brewpub,9/1/2017,Open,"6014 TECHNI CENTER DRIVE, AUSTIN, TX"
Southern Roots Brewing Co.,219,N 8TH STREET,WACO,TX,Brewpub,2/7/2019,In the works,"219 N 8TH STREET, WACO, TX"
Southern Yankee Beer Company,930,FM 1960 SUITE G,HOUSTON,TX,Brewpub,8/14/2018,Open,"930 FM 1960 SUITE G, HOUSTON, TX"
Spindle Tap Brewery Llc,10622,HIRSCH ROAD BUILDING B,HOUSTON,TX,Brewpub,4/14/2016,Open,"10622 HIRSCH ROAD BUILDING B, HOUSTON, TX"
St Elmo Brewing Company,440,E SAINT ELMO ROAD SUITE G2,AUSTIN,TX,Brewpub,4/22/2016,Open,"440 E SAINT ELMO ROAD SUITE G2, AUSTIN, TX"
Steam Theory Brewing Company,340,SINGLETON BOULEVARD SUITE 100,DALLAS,TX,Brewpub,2/28/2018,Open,"340 SINGLETON BOULEVARD SUITE 100, DALLAS, TX"
Struggle Street Brewing Company,2140,CALDER AVENUE,BEAUMONT,TX,Brewpub,4/15/2019,,"2140 CALDER AVENUE, BEAUMONT, TX"
Suds Monkey Brewing Company,1032,CANYON BEND DRIVE,DRIPPING SPRINGS,TX,Brewpub,5/13/2016,Open,"1032 CANYON BEND DRIVE, DRIPPING SPRINGS, TX"
Sun Brewing Company,101,LA UNION ROAD,CANUTILLO,TX,Brewpub,4/23/2014,Open,"101 LA UNION ROAD, CANUTILLO, TX"
Symposium Brewpub,310,19TH STREET,GALVESTON,TX,Brewpub,1/15/2019,Open,"310 19TH STREET, GALVESTON, TX"
Tall City Brewing Co.,3303,W GOLF COURSE ROAD,MIDLAND,TX,Brewpub,11/27/2018,Open,"3303 W GOLF COURSE ROAD, MIDLAND, TX"
Texas Beer Company,1331,W 2ND STREET,TAYLOR,TX,Brewpub,8/7/2017,Open,"1331 W 2ND STREET, TAYLOR, TX"
Texas Beer Refinery,1825,FM 1266 'B',DICKINSON,TX,Brewpub,9/5/2014,Open,"1825 FM 1266 'B', DICKINSON, TX"
Texas Leaguer Brewing Company,13503,PIKE ROAD SUITE 100,MISSOURI CITY,TX,Brewpub,8/18/2017,Open,"13503 PIKE ROAD SUITE 100, MISSOURI CITY, TX"
The Austin Beer Garden Brewing Company,1305,W OLTORF STREET SUITE 200,AUSTIN,TX,Brewpub,4/4/2013,Open,"1305 W OLTORF STREET SUITE 200, AUSTIN, TX"
The Black Star Co-Op,7020,EASY WIND DRIVE SUITE 100,AUSTIN,TX,Brewpub,11/9/2017,Open,"7020 EASY WIND DRIVE SUITE 100, AUSTIN, TX"
